gene_name,logFC,logCPM,PValue,significant,symbol,entrez_name,location,gene_type,comparison
ENSMUSG00000005547,-2.80455871592174,5.526442907447,1.00163728335314e-05,-1,CYP2A6 (includes others),cytochrome P450 family 2 subfamily A member 6,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000032496,-3.29525603357916,6.4382076108759,2.56064297802827e-05,-1,LTF,lactotransferrin,Extracellular Space,peptidase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000090877,2.13101710572869,5.1555490284634,2.74135403609213e-05,1,Hspa1b,heat shock protein 1B,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000025068,-1.03818743295342,6.5130207974125,0.000954629825212787,0,GSTO1,glutathione S-transferase omega 1,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000039196,-2.36714021741084,5.62405559814904,0.00116727535386335,0,Orm1 (includes others),orosomucoid 1,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000062515,-2.43403377634584,5.11140439237164,0.00215731680727782,0,FABP4,fatty acid binding protein 4,Cytoplasm,transporter,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000028410,0.554078099546544,7.14672693957632,0.00219328816060798,0,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000027483,-3.82900941231502,8.06318042680243,0.00222499065523888,0,BPIFA1,BPI fold containing family A member 1,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000061780,-3.16469587841162,5.68708082041055,0.00262860537663714,0,CFD,complement factor D,Extracellular Space,peptidase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000027485,-2.92822701729374,6.84334579602047,0.00263173962743236,0,BPIFB1,BPI fold containing family B member 1,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000007659,0.545034488050565,7.09416965345331,0.00295066511854779,0,BCL2L1,BCL2 like 1,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000071637,0.755190037730701,6.71222675669542,0.00394214054582941,0,CEBPD,CCAAT enhancer binding protein delta,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000053907,0.361383967121345,7.30766347274878,0.00466899820392711,0,MAT2A,methionine adenosyltransferase 2A,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000030017,-3.0587731218397,6.39642001908802,0.00609728862118442,0,REG3G,regenerating family member 3 gamma,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000047228,-2.29891330026709,5.02028972374843,0.00640303740293305,0,OVOS2,alpha-2-macroglobulin like 1 pseudogene,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000023043,-0.504786945729522,6.63609266348731,0.0065224922416609,0,KRT18,keratin 18,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000027559,-3.06116826981967,5.8792921567034,0.00728087811501316,0,CA3,carbonic anhydrase 3,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000003032,0.675027198080043,6.84356053541443,0.00880082889070374,0,KLF4,Kruppel like factor 4,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000119892,-1.42243248860507,6.91289594605299,0.00960353395303896,0,NA,NA,NA,NA,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000118837,-1.42243248941231,6.91289594605299,0.00960360480488807,0,NA,NA,NA,NA,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000118718,-1.42243248970219,6.91289594605299,0.00960363024680408,0,NA,NA,NA,NA,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000119776,-1.42243249041406,6.91289594605299,0.00960369272859597,0,NA,NA,NA,NA,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000025959,0.395593868048965,6.90897530039075,0.0113290541364746,0,KLF7,Kruppel like factor 7,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000020911,-0.456376357830947,7.18016066917621,0.0117888409380422,0,KRT19,keratin 19,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000049791,0.387655123668192,7.21234536005645,0.0128583332858703,0,FZD4,frizzled class receptor 4,Plasma Membrane,G-protein coupled receptor,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000024754,0.48376146871016,8.2011099705448,0.0171941534190815,0,CEMIP2,cell migration inducing hyaluronidase 2,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000040026,1.68861956325488,9.95805870643302,0.0182055241446918,0,Saa3,serum amyloid A 3,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000025950,-0.455444683237345,6.45777314949208,0.0182767407980649,0,IDH1,isocitrate dehydrogenase (NADP(+)) 1,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000002831,-1.39367735273799,5.34993671994908,0.0190922604687085,0,PLIN4,perilipin 4,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000020777,-0.274449284633923,7.04103283846758,0.0207455241185794,0,ACOX1,acyl-CoA oxidase 1,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000049382,-0.447759495544439,7.5476667570669,0.0209872734925602,0,KRT8,keratin 8,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000064057,-2.10614034505832,7.89127902613933,0.0217713465408179,0,SCGB3A1,secretoglobin family 3A member 1,Extracellular Space,cytokine,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000015053,0.628344854485884,6.09373003875939,0.0218667879417124,0,GATA2,GATA binding protein 2,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000021108,0.325417524476435,6.76744833631263,0.0223012097671531,0,PRKCH,protein kinase C eta,Cytoplasm,kinase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000022661,0.268643917136207,6.90634537783837,0.0279740939130631,0,CD200,CD200 molecule,Plasma Membrane,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000002020,0.403363801646002,6.48985695193384,0.029074349763933,0,LTBP2,latent transforming growth factor beta binding protein 2,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000060969,0.585251497001552,6.39762451998037,0.0293588180450239,0,IRX1,iroquois homeobox 1,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000097336,0.593956977407349,6.577492822882,0.0306527073278706,0,Fendrr,Foxf1 adjacent non-coding developmental regulatory RNA,Other,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000012350,-0.525626090840784,6.24397628527922,0.0307484545934507,0,EHF,ETS homologous factor,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000058427,1.63109800594176,6.40510052548729,0.0308974139379914,0,CXCL3,C-X-C motif chemokine ligand 3,Extracellular Space,cytokine,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000024900,-0.288880316529282,7.24985073348024,0.0334158315695567,0,CPT1A,carnitine palmitoyltransferase 1A,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000052305,-1.61607919676278,7.89818630697314,0.0338498508530223,0,HBB,hemoglobin subunit beta,Cytoplasm,transporter,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000033082,0.480412662548279,7.23444048775834,0.0342486150690611,0,CLEC1A,C-type lectin domain family 1 member A,Plasma Membrane,transmembrane receptor,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000077714,-1.08611205579385,6.73042612649548,0.034454304591727,0,Snord17,small nucleolar RNA, C/D box 17,Other,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000057003,5.54186077035577,4.63713762859831,0.0344728648353111,0,MYH4,myosin heavy chain 4,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000037266,0.340272198131243,7.64551999533208,0.0345594445088683,0,RSRP1,arginine and serine rich protein 1,Other,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000052684,0.372667842044194,7.48156023389397,0.0349939025325068,0,JUN,Jun proto-oncogene, AP-1 transcription factor subunit,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000055866,0.587718423466321,6.43621945392644,0.0354376369555168,0,PER2,period circadian regulator 2,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000031299,-0.261298795009761,7.00656404086365,0.0356491452024236,0,PDHA1,pyruvate dehydrogenase E1 subunit alpha 1,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000040430,0.334782502502859,6.6752135716182,0.0361891209024779,0,Pitpnc1,phosphatidylinositol transfer protein, cytoplasmic 1,Cytoplasm,transporter,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000038145,0.308784504434899,7.4787155636892,0.037158992262725,0,SNRK,SNF related kinase,Cytoplasm,kinase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000028255,-3.37190600692633,3.94576781927438,0.0376134697991476,0,CLCA1,chloride channel accessory 1,Plasma Membrane,ion channel,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000035150,-0.238684099495404,7.24070271476883,0.0386920829256029,0,EIF2S3,eukaryotic translation initiation factor 2 subunit gamma,Cytoplasm,translation regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000054364,0.404671531757072,7.19370430394976,0.0387876516713311,0,RHOB,ras homolog family member B,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000024597,-0.261151025233714,7.97978507141614,0.0390144297946335,0,SLC12A2,solute carrier family 12 member 2,Plasma Membrane,transporter,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000032712,0.341179971297173,8.00754857478556,0.0396920076745341,0,RESF1,retroelement silencing factor 1,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000066108,-1.55367735426693,8.72328718954448,0.0399810277519641,0,MUC5B,mucin 5B, oligomeric mucus/gel-forming,Extracellular Space,peptidase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000018796,-0.560427196910399,6.82456064247085,0.0402697988241111,0,ACSL1,acyl-CoA synthetase long chain family member 1,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000015468,0.397888697332073,6.90565617004535,0.0408224107986945,0,NOTCH4,notch receptor 4,Plasma Membrane,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000018166,-0.272515210217898,6.86200235108991,0.0416135544417,0,ERBB3,erb-b2 receptor tyrosine kinase 3,Plasma Membrane,kinase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000020893,0.661728286877079,7.09755453758411,0.0420929578969225,0,PER1,period circadian regulator 1,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000001300,0.355741462780261,7.26588677035243,0.0431938311136085,0,EFNB2,ephrin B2,Plasma Membrane,kinase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000042066,0.40053474108952,6.77167912827098,0.0439952037934923,0,TMCC2,transmembrane and coiled-coil domain family 2,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000033453,0.493978266806512,6.93862643454283,0.0445570867569326,0,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,Extracellular Space,peptidase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000039116,0.311538947095986,6.82199884945429,0.0447194148086591,0,ADGRG6,adhesion G protein-coupled receptor G6,Plasma Membrane,G-protein coupled receptor,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000041890,0.301312804938901,6.93673807109137,0.0450696139063771,0,GIT2,GIT ArfGAP 2,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000055148,0.556877320538904,6.52619051808633,0.0467472902413781,0,KLF2,Kruppel like factor 2,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000066842,0.393995301446537,8.03148300233618,0.0499200897199943,0,HMCN1,hemicentin 1,Extracellular Space,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000007476,0.309435921415901,6.68133294367596,0.0509238360478828,0,LRRC8A,leucine rich repeat containing 8 VRAC subunit A,Plasma Membrane,ion channel,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000038342,0.335843704881074,6.41994966927346,0.0513859558338049,0,MLXIP,MLX interacting protein,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000042812,0.462924537000873,7.00930341002573,0.0514344478954651,0,FOXF1,forkhead box F1,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000026380,-0.270544586367194,6.71814824383921,0.0518972892867019,0,TFCP2L1,transcription factor CP2 like 1,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000041040,0.315349426750197,6.59168390614948,0.0525915894989272,0,FAM117B,family with sequence similarity 117 member B,Other,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000032580,0.25832584048658,7.19721191425871,0.0536057934081236,0,RBM5,RNA binding motif protein 5,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000026166,-1.55501000686944,5.44140541573491,0.0539321730171558,0,CCL20,C-C motif chemokine ligand 20,Extracellular Space,cytokine,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000024507,-0.229513000138104,6.77486107357696,0.0540308195850164,0,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000022623,0.435401066645303,7.04845971347989,0.0544089518758981,0,SHANK3,SH3 and multiple ankyrin repeat domains 3,Plasma Membrane,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000028820,0.273440287794553,7.35922460467273,0.0554591123735612,0,SFPQ,splicing factor proline and glutamine rich,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000062127,0.380533282458586,7.2214476162392,0.0557086220144565,0,CTTNBP2NL,CTTNBP2 N-terminal like,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000005615,-0.203360553729658,6.79551081452539,0.0584519265002944,0,PCYT1A,phosphate cytidylyltransferase 1, choline, alpha,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000024074,0.219381934762787,7.65344627756421,0.0589059174184034,0,CRIM1,cysteine rich transmembrane BMP regulator 1,Extracellular Space,kinase,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000032515,0.645761155003806,5.66862774926076,0.0609258329688766,0,CSRNP1,cysteine and serine rich nuclear protein 1,Nucleus,transcription regulator,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000041598,0.32648695359239,7.07225298495634,0.0618641307880459,0,CDC42EP4,CDC42 effector protein 4,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000032418,-0.454202401063403,6.1573229534005,0.0619487503213114,0,ME1,malic enzyme 1,Cytoplasm,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000020326,-0.259530095739511,6.7564255068995,0.0624528103816022,0,CCNG1,cyclin G1,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000012428,-0.589922143245912,6.62681208864307,0.0624932273433774,0,STEAP4,STEAP4 metalloreductase,Plasma Membrane,enzyme,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000052921,0.35933240220546,6.42453526727805,0.062855954420876,0,ARHGEF15,Rho guanine nucleotide exchange factor 15,Cytoplasm,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000063511,0.31006671556982,7.26472788391586,0.0628879352913142,0,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70,Nucleus,other,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
ENSMUSG00000039004,0.368182891438605,6.54069663959691,0.0629419275461264,0,BMP6,bone morphogenetic protein 6,Extracellular Space,growth factor,Group20-Group18 (Air_JUUL_1Month_noLPS_Female Vs. MintJUUL_JUUL_1Month_noLPS_Female)
